NDB_No,Long_Desc,FdGrp_Desc,10:0,12:0,13:0,14:0,14:1,15:0,15:1,16:0,16:1 c,16:1 t,16:1 undifferentiated,17:0,17:1,18:0,18:1 c,18:1 t,18:1 undifferentiated,18:1-11t (18:1t n-7),18:2 CLAs,18:2 i,"18:2 n-6 c,c",18:2 t not further defined,"18:2 t,t",18:2 undifferentiated,"18:3 n-3 c,c,c (ALA)","18:3 n-6 c,c,c",18:3 undifferentiated,18:3i,18:4,20:0,20:1,"20:2 n-6 c,c",20:3 n-3,20:3 n-6,20:3 undifferentiated,20:4 n-6,20:4 undifferentiated,20:5 n-3 (EPA),21:5,22:0,22:1 c,22:1 t,22:1 undifferentiated,22:4,22:5 n-3 (DPA),22:6 n-3 (DHA),24:0,24:1 c,4:0,6:0,8:0,Adjusted Protein,Alanine,"Alcohol, ethyl",Arginine,Ash,Aspartic acid,Betaine,Beta-sitosterol,Caffeine,"Calcium, Ca",Campesterol,"Carbohydrate, by difference","Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total","Copper, Cu","Cryptoxanthin, beta",Cystine,Dihydrophylloquinone,Energy,Energy (kj),"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic","Fiber, total dietary","Fluoride, F","Folate, DFE","Folate, food","Folate, total",Folic acid,Fructose,Galactose,Glucose (dextrose),Glutamic acid,Glycine,Histidine,Hydroxyproline,"Iron, Fe",Isoleucine,Lactose,Leucine,Lutein + zeaxanthin,Lycopene,Lysine,"Magnesium, Mg",Maltose,"Manganese, Mn",Menaquinone-4,Methionine,Niacin,Pantothenic acid,Phenylalanine,"Phosphorus, P",Phytosterols,"Potassium, K",Proline,Protein,Retinol,Riboflavin,"Selenium, Se",Serine,"Sodium, Na",Starch,Stigmasterol,Sucrose,"Sugars, total",Theobromine,Thiamin,Threonine,"Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma",Total lipid (fat),Tryptophan,Tyrosine,Valine,"Vitamin A, IU","Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D,Vitamin D (D2 + D3),Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,"Zinc, Zn"
02001,"Spices, allspice, ground",Spices and Herbs,0,0,,0.02,,,,0.49,,,0,,,1.99,,,0.66,,,,,,,2.29,,,0.07,,0,,0,,,,,,0,0,,,,,0,,0,0,,,0,0,0,,,0,,4.65,,,,0,661,,72.12,,,0,,0.553,,,,263,1099,0.66,2.36,2.55,,,,21.6,,36,36,36,0,,,,,,,,7.06,,,,,,,135,,2.943,,,2.86,,,113,61,1044,,6.09,0,0.063,2.7,,77,,,,,0,0.101,,,,,8.69,,,,540,27,0,,0.21,39.2,0,0,,,,,,8.46,1.01
02002,"Spices, anise seed",Spices and Herbs,0,0,,0,,,,0,,,0,,,0,,,9.78,,,,,,,3.15,,,0,,0,,0,,,,,,0,0,,,,,0,,0,0,,,0,0,0,,,0,,6.95,,,,0,646,,50.02,,,0,,0.91,,,,337,1411,9.78,3.15,0.586,,,,14.6,,10,10,10,0,,,,,,,,36.96,,,,,,,170,,2.3,,,3.06,0.797,,440,,1441,,17.6,0,0.29,5,,16,,,,,0,0.34,,,,,15.9,,,,311,16,0,,0.65,21,0,0,,,,,,9.54,5.3
02003,"Spices, basil, dried",Spices and Herbs,0,0,0,0.046,0,0,0,1.036,,,0.171,0,0,1.075,1.067,0,1.067,,,,,,,0.199,0.296,0.004,0.3,,0,0,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,,1.18,0,1.23,14.85,3.02,16.1,,0,2240,,47.75,113,378,0,54.9,2.1,24,0.19,0,233,976,1.238,0.498,2.157,0,0,,37.7,,310,310,310,0,0.75,0.19,0.75,2.57,1.25,0.45,0,89.8,1.06,0,1.85,1150,393,1.15,711,0,9.8,,0.32,4.9,0.838,1.25,274,106,2630,2.7,22.98,0,1.2,3,0.53,76,,,0.02,1.71,0,0.08,0.76,0,0,0.77,4.07,0.26,0.75,1.45,744,37,0,0,1.34,0.8,0,0,,,10.7,0,1714.5,10.35,7.1
02004,"Spices, bay leaf",Spices and Herbs,0.01,0.53,,0.21,,,,1.27,,,0.14,,,0.16,,,1.5,,,,,,,1.24,,,1.05,,0,,0,,,,,,0,0,,,,,0,,0,0,,,0,0,0.01,,,0,,3.62,,,,,834,,74.97,,,0,,0.416,,,,313,1312,1.64,2.29,2.28,,,,26.3,,180,180,180,0,,,,,,,,43,,,,,,,120,,8.167,,,2.005,,,113,,529,,7.61,0,0.421,2.8,,23,,,,,,0.009,,,,,8.36,,,,6185,309,0,,1.74,46.5,0,0,,,,,,5.44,3.7
02005,"Spices, caraway seed",Spices and Herbs,0.01,0.01,,0.04,,,,0.4,,,0.09,,,0.11,,,7.035,,,,,,,3.122,,,0.15,,0,,0,,,,,,0,0,,,,,0,,0,0,,,0,0,0,,0.914,0,1.252,5.87,2.084,,,0,689,,49.9,8,206,0,24.7,0.91,16,0.329,,333,1393,7.125,3.272,0.62,,,,38,,10,10,10,0,,,,3.169,1.322,0.55,,16.23,0.826,,1.218,454,20,1.031,258,,1.3,,0.361,3.606,,0.867,568,76,1351,0.917,19.77,0,0.379,12.1,0.946,17,,,,0.64,0,0.383,0.756,,,,14.59,0.244,0.642,1.037,363,18,0,0,0.36,21,0,0,,,2.5,0,0,9.87,5.5
02006,"Spices, cardamom",Spices and Herbs,0,0,,0.03,,,,0.57,,,0.02,,,0.06,,,0.85,,,,,,,0.31,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78,,,,,383,,68.47,,,0,,0.383,,,,311,1303,0.87,0.43,0.68,,,,28,,,,,,,,,,,,,13.97,,,,,,,229,,28,,,1.102,,,178,46,1119,,10.76,0,0.182,,,18,,,,,,0.198,,,,,6.7,,,,0,0,0,,0.23,21,0,0,,,,,,8.28,7.47
02007,"Spices, celery seed",Spices and Herbs,0.02,0.02,,0.02,,,,1.29,,,0.24,,,0.39,,,15.45,,,,,,,3.52,,,0.2,,0,,0.24,,,,,,0,0,,,,,0,,0,0,,,0,0,0,,,0,,9.27,,,,0,1767,,41.35,0,31,0,24.7,1.37,0,,,392,1641,15.93,3.72,2.19,,,,11.8,,10,10,10,0,,,,,,,,44.9,,,,0,0,,440,,7.567,,,3.06,,,547,60,1400,,18.07,0,0.29,12.1,,160,,,,0.67,0,0.34,,0,0,0,25.27,,,,52,3,0,0,0.89,17.1,0,0,,,1.07,0,0,6.04,6.93
02008,"Spices, chervil, dried",Spices and Herbs,0,0,,0,,,,0.169,,,0,,,0,,,1.399,,,,,,,1.8,,,0,,0,,0,,,,,,0,0,,,,,0,,0,0,,,0,0,0,,,0,,16.6,,,,0,1346,,49.1,,,0,,0.44,,,,237,990,1.399,1.8,0.169,,,,11.3,,274,274,274,0,,,,,,,,31.95,,,,,,,130,,2.1,,,5.4,,,450,,4740,,23.2,0,0.68,29.3,,83,,,,,0,0.38,,,,,3.9,,,,5850,293,0,,0.93,50,0,0,,,,,,7.2,8.8
02009,"Spices, chili powder",Spices and Herbs,0.013,0.081,0.027,0.189,0,0,0,1.619,,,0.082,0.014,0,0.396,3.116,0,3.116,,,,,,,7.473,0.519,0.014,0.533,,0,0.055,0.014,0,,,0,,0,0,,0.055,,,0,,0,0,0,0,0,0.013,0,,0.45,0,0.49,11.81,1.69,2.7,,0,330,,49.7,2090,15000,0,66.5,1,3490,0.18,0,282,1179,3.211,8.006,2.462,0,0,,34.8,,28,28,28,0,4.29,0,2.14,1.59,0.6,0.18,0,17.3,0.39,0,0.63,310,21,0.36,149,0,1.7,,0.13,11.6,0.888,0.37,300,83,1950,1.25,13.46,0,0.94,20.4,0.23,1640,,,0.76,7.19,0,0.25,0.27,0.24,0,3.41,14.28,0.07,0.19,0.54,29650,1483,0,0,2.094,0.7,0,0,,,38.14,0,105.7,10.75,4.3
02010,"Spices, cinnamon, ground",Spices and Herbs,0.003,0.006,0,0.009,0,0,0,0.104,,,0.001,0.136,0,0.082,0.246,0,0.246,,,,,,,0.044,0.011,0,0.011,,0,0,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,,0.166,0,0.166,3.6,0.438,3.9,,0,1002,,80.59,1,112,0,11,0.339,129,0.058,0,247,1035,0.246,0.068,0.345,0,0,,53.1,,6,6,6,0,1.11,0,1.04,0.37,0.195,0.117,0,8.32,0.146,0,0.253,222,15,0.243,60,0,17.466,,0.078,1.332,0.358,0.146,64,26,431,0.419,3.99,0,0.041,3.1,0.195,10,,,0.02,2.17,0,0.022,0.136,0,0.26,10.44,1.24,0.049,0.136,0.224,295,15,0,0,0.158,3.8,0,0,,,2.32,0,31.2,10.58,1.83
