Nutr_No,Units,Tagname,NutrDesc,Num_Dec,SR_Order,RDI,DRI,WikipediaLink
203,g,PROCNT,Protein,2,600,50,56,http://en.wikipedia.org/wiki/Protein
204,g,FAT,Total lipid (fat),2,800,65,30,http://en.wikipedia.org/wiki/Fat
205,g,CHOCDF,"Carbohydrate, by difference",2,1100,300,376,http://en.wikipedia.org/wiki/Carbohydrate
207,g,ASH,Ash,2,1000,,,http://en.wikipedia.org/wiki/Ash_(analytical_chemistry)
208,kcal,ENERC_KCAL,Energy,0,300,,,http://en.wikipedia.org/wiki/Food_energy
209,g,STARCH,Starch,2,2200,,,http://en.wikipedia.org/wiki/Starch
210,g,SUCS,Sucrose,2,1600,,,http://en.wikipedia.org/wiki/Sucrose
211,g,GLUS,Glucose (dextrose),2,1700,,,http://en.wikipedia.org/wiki/Glucose
212,g,FRUS,Fructose,2,1800,,,http://en.wikipedia.org/wiki/Fructose
213,g,LACS,Lactose,2,1900,,,http://en.wikipedia.org/wiki/Lactose
214,g,MALS,Maltose,2,2000,,,http://en.wikipedia.org/wiki/Maltose
221,g,ALC,"Alcohol, ethyl",1,18200,,,http://en.wikipedia.org/wiki/Ethyl_alcohol
255,g,WATER,Water,2,100,,,http://en.wikipedia.org/wiki/Water
257,g,,Adjusted Protein,2,700,,,http://en.wikipedia.org/wiki/Protein
262,mg,CAFFN,Caffeine,0,18300,,,http://en.wikipedia.org/wiki/Caffeine
263,mg,THEBRN,Theobromine,0,18400,,,http://en.wikipedia.org/wiki/Theobromine
268,kJ,ENERC_KJ,Energy (kj),0,400,,,http://en.wikipedia.org/wiki/Food_energy
269,g,SUGAR,"Sugars, total",2,1500,,,http://en.wikipedia.org/wiki/Sugar
287,g,GALS,Galactose,2,2100,,,http://en.wikipedia.org/wiki/Galactose
291,g,FIBTG,"Fiber, total dietary",1,1200,25,38,http://en.wikipedia.org/wiki/Dietary_fiber
301,mg,CA,"Calcium, Ca",0,5300,1000,1300,http://en.wikipedia.org/wiki/Calcium
303,mg,FE,"Iron, Fe",2,5400,18,18,http://en.wikipedia.org/wiki/Iron
304,mg,MG,"Magnesium, Mg",0,5500,400,420,http://en.wikipedia.org/wiki/Magnesium
305,mg,P,"Phosphorus, P",0,5600,1000,1250,http://en.wikipedia.org/wiki/Phosphorus
306,mg,K,"Potassium, K",0,5700,3500,4700,http://en.wikipedia.org/wiki/Potassium
307,mg,NA,"Sodium, Na",0,5800,2400,1500,http://en.wikipedia.org/wiki/Sodium
309,mg,ZN,"Zinc, Zn",2,5900,15,11,http://en.wikipedia.org/wiki/Zinc
312,mg,CU,"Copper, Cu",3,6000,2,0.9,http://en.wikipedia.org/wiki/Copper
